egln3_Lepisosteus_oculatus_3659	-2.54	2.44	0.43	0.04	-1.47	0.24	-2.32	0.6	-0.14	1.3	2.47	1.95	0.26	3.9	0.09	2.29	0.89	-2.49	1.49	0.31	2.29	0.89	-2.49	1.49	0.31	2.39	-1.07	1.15	-1.39	0.67	3.52	2.5	-3.5	1.99	-0.17	2.39	-1.07	1.15	-1.39	0.67	3.52	2.5	-3.5	1.99	-0.17	3.05	1.62	1.04	-1.15	1.61
egln3_Anguilla_anguilla_4615	1.75	0.5	-1.44	-1.34	0.66	2.29	0.89	-2.49	1.49	0.31	2.47	1.95	0.26	3.9	0.09	2.29	0.89	-2.49	1.49	0.31	2.29	0.89	-2.49	1.49	0.31	2.39	-1.07	1.15	-1.39	0.67	3.52	2.5	-3.5	1.99	-0.17	2.39	-1.07	1.15	-1.39	0.67	3.52	2.5	-3.5	1.99	-0.17	2.39	-1.07	1.15	-1.39	0.67
egln3_Clupea_harengus_9598	0.84	-1.67	3.71	0.18	-2.65	2.29	0.89	-2.49	1.49	0.31	2.47	1.95	0.26	3.9	0.09	2.29	0.89	-2.49	1.49	0.31	2.29	0.89	-2.49	1.49	0.31	0.24	-2.32	0.6	-0.14	1.3	3.52	2.5	-3.5	1.99	-0.17	2.39	-1.07	1.15	-1.39	0.67	2.05	-4.06	0.36	-0.82	-0.38	3.05	1.62	1.04	-1.15	1.61
egln3_Colossoma_macropomum_3274	2.39	-1.07	1.15	-1.39	0.67	-2.59	-2.64	-1.54	-0.85	-0.02	2.47	1.95	0.26	3.9	0.09	2.29	0.89	-2.49	1.49	0.31	2.29	0.89	-2.49	1.49	0.31	0.24	-2.32	0.6	-0.14	1.3	3.52	2.5	-3.5	1.99	-0.17	2.39	-1.07	1.15	-1.39	0.67	2.39	-1.07	1.15	-1.39	0.67	0.75	-2.18	-1.12	-1.46	-0.4
egln3l_Ctenopharyngodon_idella_8723	3.11	0.26	-0.11	-3.04	-0.25	NA	NA	NA	NA	NA	1.75	0.5	-1.44	-1.34	0.66	2.29	0.89	-2.49	1.49	0.31	2.29	0.89	-2.49	1.49	0.31	0.24	-2.32	0.6	-0.14	1.3	3.52	2.5	-3.5	1.99	-0.17	0.75	-2.18	-1.12	-1.46	-0.4	3.98	0.93	1.93	-2.46	0.75	2.39	-1.07	1.15	-1.39	0.67
egln3_Danio_rerio_6602	0.24	-2.32	0.6	-0.14	1.3	2.29	0.89	-2.49	1.49	0.31	3.11	0.26	-0.11	-3.04	-0.25	2.29	0.89	-2.49	1.49	0.31	2.29	0.89	-2.49	1.49	0.31	0.24	-2.32	0.6	-0.14	1.3	3.52	2.5	-3.5	1.99	-0.17	-3.89	-1.73	-1.71	-0.84	0.26	2.05	-4.06	0.36	-0.82	-0.38	2.39	-1.07	1.15	-1.39	0.67
egln3l_Cyprinus_carpio_8049	2.39	-1.07	1.15	-1.39	0.67	NA	NA	NA	NA	NA	1.75	0.5	-1.44	-1.34	0.66	2.29	0.89	-2.49	1.49	0.31	2.29	0.89	-2.49	1.49	0.31	0.24	-2.32	0.6	-0.14	1.3	3.52	2.5	-3.5	1.99	-0.17	3.05	1.62	1.04	-1.15	1.61	2.05	-4.06	0.36	-0.82	-0.38	2.39	-1.07	1.15	-1.39	0.67
egln3_Carassius_auratus_7678	0.24	-2.32	0.6	-0.14	1.3	2.29	0.89	-2.49	1.49	0.31	2.47	1.95	0.26	3.9	0.09	2.29	0.89	-2.49	1.49	0.31	2.29	0.89	-2.49	1.49	0.31	0.24	-2.32	0.6	-0.14	1.3	3.52	2.5	-3.5	1.99	-0.17	3.05	1.62	1.04	-1.15	1.61	2.05	-4.06	0.36	-0.82	-0.38	2.39	-1.07	1.15	-1.39	0.67
egln3l_Cyprinus_carpio_8372	0.24	-2.32	0.6	-0.14	1.3	2.29	0.89	-2.49	1.49	0.31	2.47	1.95	0.26	3.9	0.09	2.29	0.89	-2.49	1.49	0.31	2.29	0.89	-2.49	1.49	0.31	0.24	-2.32	0.6	-0.14	1.3	3.52	2.5	-3.5	1.99	-0.17	3.05	1.62	1.04	-1.15	1.61	2.05	-4.06	0.36	-0.82	-0.38	2.39	-1.07	1.15	-1.39	0.67
egln3l_Carassius_auratus_0922	0.24	-2.32	0.6	-0.14	1.3	2.29	0.89	-2.49	1.49	0.31	2.47	1.95	0.26	3.9	0.09	2.29	0.89	-2.49	1.49	0.31	2.29	0.89	-2.49	1.49	0.31	0.24	-2.32	0.6	-0.14	1.3	3.52	2.5	-3.5	1.99	-0.17	3.05	1.62	1.04	-1.15	1.61	2.05	-4.06	0.36	-0.82	-0.38	2.39	-1.07	1.15	-1.39	0.67
egln3_Esox_lucius_3611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.75	0.5	-1.44	-1.34	0.66	2.29	0.89	-2.49	1.49	0.31	2.29	0.89	-2.49	1.49	0.31	0.24	-2.32	0.6	-0.14	1.3	3.52	2.5	-3.5	1.99	-0.17	2.39	-1.07	1.15	-1.39	0.67	3.52	2.5	-3.5	1.99	-0.17	3.05	1.62	1.04	-1.15	1.61
