egln1a_Lepisosteus_oculatus_6669	2.39	-1.07	1.15	-1.39	0.67	3.11	0.26	-0.11	-3.04	-0.25	NA	NA	NA	NA	NA	3.52	2.5	-3.5	1.99	-0.17	3.98	0.93	1.93	-2.46	0.75	2.05	-4.06	0.36	-0.82	-0.38	3.11	0.26	-0.11	-3.04	-0.25	3.11	0.26	-0.11	-3.04	-0.25
egln1a_Anguilla_anguilla_7600	NA	NA	NA	NA	NA	-4.28	-1.3	-1.49	-0.72	0.84	0.75	-2.18	-1.12	-1.46	-0.4	0.24	-2.32	0.6	-0.14	1.3	1.75	0.5	-1.44	-1.34	0.66	2.39	-1.07	1.15	-1.39	0.67	3.52	2.5	-3.5	1.99	-0.17	3.11	0.26	-0.11	-3.04	-0.25
egln1a_Clupea_harengus_0941	-4.28	-1.3	-1.49	-0.72	0.84	3.11	0.26	-0.11	-3.04	-0.25	2.39	-1.07	1.15	-1.39	0.67	3.52	2.5	-3.5	1.99	-0.17	-1.66	0.27	1.84	0.7	2	2.39	-1.07	1.15	-1.39	0.67	NA	NA	NA	NA	NA	3.05	1.62	1.04	-1.15	1.61
egln1a_Colossoma_macropomum_0076	-1.66	0.27	1.84	0.7	2	0.24	-2.32	0.6	-0.14	1.3	-1.66	0.27	1.84	0.7	2	3.11	0.26	-0.11	-3.04	-0.25	2.05	-4.06	0.36	-0.82	-0.38	2.39	-1.07	1.15	-1.39	0.67	-4.28	-1.3	-1.49	-0.72	0.84	3.11	0.26	-0.11	-3.04	-0.25
egln1a_Danio_rerio_9385	-4.28	-1.3	-1.49	-0.72	0.84	3.11	0.26	-0.11	-3.04	-0.25	0.75	-2.18	-1.12	-1.46	-0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.11	0.26	-0.11	-3.04	-0.25
egln1al_Ctenopharyngodon_idella_4812	-4.28	-1.3	-1.49	-0.72	0.84	3.11	0.26	-0.11	-3.04	-0.25	0.75	-2.18	-1.12	-1.46	-0.4	0.24	-2.32	0.6	-0.14	1.3	3.98	0.93	1.93	-2.46	0.75	-1.66	0.27	1.84	0.7	2	NA	NA	NA	NA	NA	3.11	0.26	-0.11	-3.04	-0.25
egln1a_Cyprinus_carpio_9512	-4.28	-1.3	-1.49	-0.72	0.84	3.11	0.26	-0.11	-3.04	-0.25	0.75	-2.18	-1.12	-1.46	-0.4	0.75	-2.18	-1.12	-1.46	-0.4	3.98	0.93	1.93	-2.46	0.75	-1.66	0.27	1.84	0.7	2	NA	NA	NA	NA	NA	3.11	0.26	-0.11	-3.04	-0.25
egln1a_Carassius_auratus_6581	-4.28	-1.3	-1.49	-0.72	0.84	3.11	0.26	-0.11	-3.04	-0.25	0.75	-2.18	-1.12	-1.46	-0.4	3.98	0.93	1.93	-2.46	0.75	-1.66	0.27	1.84	0.7	2	3.98	0.93	1.93	-2.46	0.75	NA	NA	NA	NA	NA	3.11	0.26	-0.11	-3.04	-0.25
egln1al_Cyprinus_carpio_5546	-4.28	-1.3	-1.49	-0.72	0.84	3.11	0.26	-0.11	-3.04	-0.25	0.75	-2.18	-1.12	-1.46	-0.4	0.24	-2.32	0.6	-0.14	1.3	3.98	0.93	1.93	-2.46	0.75	-1.66	0.27	1.84	0.7	2	NA	NA	NA	NA	NA	2.39	-1.07	1.15	-1.39	0.67
egln1al_Carassius_auratus_2350	-4.28	-1.3	-1.49	-0.72	0.84	3.11	0.26	-0.11	-3.04	-0.25	0.75	-2.18	-1.12	-1.46	-0.4	0.75	-2.18	-1.12	-1.46	-0.4	3.98	0.93	1.93	-2.46	0.75	-1.66	0.27	1.84	0.7	2	NA	NA	NA	NA	NA	3.11	0.26	-0.11	-3.04	-0.25
