gene_species_ID,LD1,LD2,LD3,Pc15,Pc24,Pc28,PR,tiplabel,species,clade,TSD,SSD,CSD,GSD,DAPC_group
hif2Aa_Lepisosteus_oculatus_4568,-4.731010874,2.299868522,1.599574032,10.33472395,10.83055209,11.05092015,3.773073311,hif2Aa_Lepisosteus_oculatus_4568,Lepisosteus_oculatus,basal,c,NA,NA,NA,1
hif2Aal_Anguilla_anguilla_0997,-4.412272287,1.695968501,2.377833096,4.881191938,5.951119194,6.426642419,2.604505838,hif2Aal_Anguilla_anguilla_0997,Anguilla_anguilla,eel,b,NA,NA,NA,1
hif2Aa_Anguilla_anguilla_7976,-4.058004278,1.305719395,2.902091689,4.881191938,5.951119194,6.426642419,2.604505838,hif2Aa_Anguilla_anguilla_7976,Anguilla_anguilla,eel,a,NA,NA,NA,1
hif2Aa_Clupea_harengus_0051,-3.014361624,0.970109336,1.095983565,3.430714226,3.917999832,4.134571212,-2.424095309,hif2Aa_Clupea_harengus_0051,Clupea_harengus,Otocephala,a,NA,NA,NA,1
hif2Aa_Colossoma_macropomum_0225,-3.954190985,2.080688597,2.026394428,2.685889286,4.314355715,5.038118572,-1.092274226,hif2Aa_Colossoma_macropomum_0225,Colossoma_macropomum,Otocephala,a,NA,NA,NA,1
hif2Aa_Danio_rerio_5192,2.329370252,5.981098288,-5.77201247,3.98690362,2.70193557,2.537919329,-4.453153161,hif2Aa_Danio_rerio_5192,Danio_rerio,Otocephala,a,NA,NA,NA,3
hif2Aa_Ctenopharyngodon_idella_4725,-1.368111685,5.774696016,-7.278657014,2.652578995,2.855162505,2.945199621,-2.054115266,hif2Aa_Ctenopharyngodon_idella_4725,Ctenopharyngodon_idella,Otocephala,a,NA,NA,NA,3
hif2Aal_Cyprinus_carpio_9786,0.911741819,7.053569748,-7.252853067,1.97609688,3.198353938,3.741579297,-2.071247973,hif2Aal_Cyprinus_carpio_9786,Cyprinus_carpio,Otocephala,a,NA,1,NA,3
hif2Aa_Carassius_auratus_7223,0.475444428,5.74942543,-7.612517019,2.248010209,3.310401467,3.770630877,-2.747682144,hif2Aa_Carassius_auratus_7223,Carassius_auratus,Otocephala,a,NA,1,NA,3
hif2Aa_Cyprinus_carpio_3442,0.079053021,6.273439392,-7.465888957,1.97609688,3.198353938,3.741579297,-2.071247973,hif2Aa_Cyprinus_carpio_3442,Cyprinus_carpio,Otocephala,a,NA,2,NA,3
hif2Aal_Carassius_auratus_3130,0.916271361,3.127346503,-1.879191201,2.248010209,3.310401467,3.770630877,-2.747682144,hif2Aal_Carassius_auratus_3130,Carassius_auratus,Otocephala,a,NA,2,NA,3
hif2Aa_Esox_lucius_1253,-4.815469547,-0.082214061,1.404809591,0,1.199586922,1.732736665,-2.910180096,hif2Aa_Esox_lucius_1253,Esox_lucius,Salmoniformes+sister,a,NA,NA,NA,1
hif2Aa_s1_Salmo_salar_9722,-8.784182647,-8.285345112,-2.179381548,10.44329784,13.42140542,14.57828012,3.648083446,hif2Aa_s1_Salmo_salar_9722,Salmo_salar,Salmoniformes+sister,a,1,NA,NA,2
hif2Aa_s1_Oncorhynchus_mykiss_9310,-8.860498736,-9.254183862,-2.513775168,10.93043697,13.30736556,14.42385296,3.073970709,hif2Aa_s1_Oncorhynchus_mykiss_9310,Oncorhynchus_mykiss,Salmoniformes+sister,a,1,NA,NA,2
hif2Aa_s1_Oncorhynchus_tshawytscha_4583,-8.530840355,-9.116784338,-2.419091837,5.543222223,7.532888893,8.417185191,0.700415021,hif2Aa_s1_Oncorhynchus_tshawytscha_4583,Oncorhynchus_tshawytscha,Salmoniformes+sister,a,1,NA,NA,2
hif2Aa_s2_Salmo_salar_1028,-7.931927608,-9.437079976,-2.778865926,10.44329784,13.42140542,14.57828012,3.648083446,hif2Aa_s2_Salmo_salar_1028,Salmo_salar,Salmoniformes+sister,a,2,NA,NA,2
hif2Aa_s2_Oncorhynchus_mykiss_3001,-8.589506902,-8.017168135,-1.838785319,10.93043697,13.30736556,14.42385296,3.073970709,hif2Aa_s2_Oncorhynchus_mykiss_3001,Oncorhynchus_mykiss,Salmoniformes+sister,a,2,NA,NA,2
hif2Aa_s2_Oncorhynchus_tshawytscha_0055,-9.673870216,-8.133598318,-1.356524152,5.543222223,7.532888893,8.417185191,0.700415021,hif2Aa_s2_Oncorhynchus_tshawytscha_0055,Oncorhynchus_tshawytscha,Salmoniformes+sister,a,2,NA,NA,2
hif2Aa_Gadus_morhua_9556,-3.701560092,1.414881535,1.688319876,5.225637508,5.883785021,6.176295027,-0.352261615,hif2Aa_Gadus_morhua_9556,Gadus_morhua,Neoteleostei,a,NA,NA,NA,1
hif2Aal_Betta_splendens_0734,-3.966784149,2.98502683,2.262427765,8.312073421,6.0843299,5.171890033,3.391224346,hif2Aal_Betta_splendens_0734,Betta_splendens,Neoteleostei,a,NA,NA,NA,1
hif2Aa_Scophthalmus_maximus_3544,-3.83027161,1.337935621,2.863788921,3.768981407,4.763565074,5.205602259,-0.566176202,hif2Aa_Scophthalmus_maximus_3544,Scophthalmus_maximus,Neoteleostei,a,NA,NA,NA,1
hif2Aa_Lates_calcarifer_2873,-4.95275036,1.82359437,1.816995419,3.423216967,3.633557293,3.742630955,-0.235871142,hif2Aa_Lates_calcarifer_2873,Lates_calcarifer,Neoteleostei,a,NA,NA,NA,1
hif2Aa_Morone_saxatilis_9467,-5.689104444,1.954325736,2.548910363,5.488560809,6.586864864,7.075,0.60924705,hif2Aa_Morone_saxatilis_9467,Morone_saxatilis,Neoteleostei,a,NA,NA,NA,1
hif2Aa_Micropterus_salmoides_2382,-1.428382808,3.529906306,2.391526798,5.005044478,5.128017791,5.182672597,0.378512922,hif2Aa_Micropterus_salmoides_2382,Micropterus_salmoides,Neoteleostei,a,NA,NA,NA,1
hif2Aa_Perca_fluviatilis_8035,-5.257439146,0.928752979,1.288342221,3.552720127,4.627823898,5.105647797,0.029608935,hif2Aa_Perca_fluviatilis_8035,Perca_fluviatilis,Neoteleostei,a,NA,NA,NA,1
hif2Aa_Gasterosteus_aculeatus_1023,-5.618879146,2.267586416,2.275308309,9.54,8.355134075,7.828526998,3.181474082,hif2Aa_Gasterosteus_aculeatus_1023,Gasterosteus_aculeatus,Neoteleostei,a,NA,NA,NA,1
hif2Aa_Cyclopterus_lumpus_3823,-2.268892078,0.67434198,0.812690785,7.728455506,6.997912262,6.673226376,0.820253593,hif2Aa_Cyclopterus_lumpus_3823,Cyclopterus_lumpus,Neoteleostei,a,NA,NA,NA,1
hif2Aa_Thunnus_maccoyii_1414,-5.120758895,0.500489928,1.869923184,4.9655002,6.41562475,7.06012455,-1.594566654,hif2Aa_Thunnus_maccoyii_1414,Thunnus_maccoyii,Neoteleostei,a,NA,NA,NA,1
hif2Aa_Acanthochromis_polyacanthus_7545,-4.839785221,2.338467538,2.588785395,7.186402893,6.318678639,5.92,-1.724802973,hif2Aa_Acanthochromis_polyacanthus_7545,Acanthochromis_polyacanthus,Neoteleostei,a,NA,NA,NA,1
hif2Aa_Oreochromis_niloticus_1768,-5.123970969,4.058709205,3.940700882,2.490514095,2.651001165,2.980999771,-1.618731138,hif2Aa_Oreochromis_niloticus_1768,Oreochromis_niloticus,Neoteleostei,a,NA,NA,NA,1
hif2Aal_Poecilia_latipinna_5051_2313,-3.448017254,0.436541135,1.61019455,2.878296563,2.816829656,2.789511031,-2.000942123,hif2Aal_Poecilia_latipinna_5051_2313,Poecilia_latipinna,Neoteleostei,a,NA,NA,NA,1
hif2Aa_Girardinichthys_multiradiatus_8839,-3.580495734,3.491440866,2.334454511,2.654244703,2.001490547,1.655763187,-3.054420733,hif2Aa_Girardinichthys_multiradiatus_8839,Girardinichthys_multiradiatus,Neoteleostei,a,NA,NA,NA,1
hif2Aa_Fundulus_heteroclitus_3321,-4.716177459,2.793390231,2.505439141,3.847178642,4.380642717,4.617737861,-1.540607618,hif2Aa_Fundulus_heteroclitus_3321,Fundulus_heteroclitus,Neoteleostei,a,NA,NA,NA,1
hif2Aa_Cyprinidon_variegatus_0627,-4.389019922,1.273942892,2.326129512,7.79352863,8.597177096,8.954354192,-0.474269154,hif2Aa_Cyprinidon_variegatus_0627,Cyprinidon_variegatus,Neoteleostei,a,NA,NA,NA,1
hif2Ab_Clupea_harengus_4118,-7.672380754,-9.225469155,-1.859278373,3.430714226,3.917999832,4.134571212,-2.424095309,hif2Ab_Clupea_harengus_4118,Clupea_harengus,Otocephala,b,NA,NA,NA,2
